id,name,neighborhood,subNeighborhood,address,location,days,hours,deals,description,website
11,"The Happiest Hour","west_village","West Village","121 W 10th St, NY 10011","40.7344;-74.0022","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$5 burgers, $6 beers, $8 cocktails","Palm Beach-inspired cocktail bar with renowned burgers","https://happiesthournyc.com/"
12,"Katana Kitten","west_village","West Village","531 Hudson St, New York, NY 10014","40.7356;-74.0064","sunday;monday;tuesday;wednesday;thursday","5:00 PM - 7:00 PM","$10 highballs, $9 wine, $8 draft beers, half-price bar food","Japanese-American cocktail bar with inventive drinks","https://katarakitten.com/"
13,"Tile Bar","east_village","East Village","115 1st Ave, NY 10003","40.7273;-73.9861","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 8:00 PM","$4 well drinks, $3 Bud/Bud Light drafts","Historic dive bar in former radio station building",""
14,"The Gray Mare","east_village","East Village","61 2nd Ave, NY 10003","40.7256;-73.9889","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 draft beers, $8 cocktails, wines by the glass","Neighborhood sports bar with craft beer selection","https://thegraymarenyc.com/"
15,"The Mermaid Inn","east_village","East Village","96 2nd Ave, NY 10003","40.7267;-73.9888","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$1.50 oysters, $8 wines, $6 beers","New England-style seafood restaurant with daily happy hour","https://themermaidnyc.com/"
16,"The Black Ant","east_village","East Village","60 2nd Ave, NY 10003","40.7255;-73.9889","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$8 margaritas, $6 beers, $10 small plates","Creative Mexican restaurant with innovative cocktails","https://theblackantnyc.com/"
17,"The Wayland","east_village","East Village","700 E 9th St, NY 10009","40.7261;-73.9784","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$1 oysters, discounted select beers, wines, cocktails","Rustic neighborhood cocktail bar with live music","https://thewaylandnyc.com/"
18,"Keybar","east_village","East Village","432 E 13th St, NY 10009","40.73;-73.9798","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 10:00 PM","$4 bottles, shots; $5 drafts, well drinks; $6 wines; $7 margaritas","High-energy nightlife spot with DJ and dancing","http://www.keybar.com/"
19,"A10 Kitchen","east_village","East Village","162 Avenue A, NY 10009","40.7278;-73.9824","tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 7:00 PM","$13 burgers; $9 wings; pitchers: margarita $21, mojito $23, sangria $30","Asian fusion restaurant with eclectic menu and vibrant atmosphere","https://www.a10kitchen.com/"
20,"The Smith","east_village","East Village","55 3rd Ave, New York, NY 10003","40.7315;-73.9883","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:30 PM","$7 select beers, $9 glasses of wine, $10 signature cocktails, $8 bar snacks","Bustling bistro with modern American comfort food and craft cocktails","https://thesmithrestaurant.com/"
21,"Empellón Al Pastor","east_village","East Village","132 St Marks Pl, New York, NY 10009","40.7268;-73.9833","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$4 tacos, $8 margaritas, $5 draft beers, $7 frozen drinks","Mexican taqueria with excellent tacos and tequila selection","https://www.empellon.com/"
22,"Upstate Craft Beer","east_village","East Village","95 1st Ave, NY 10003","40.7267;-73.9864","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 7:00 PM","$12 for 6 oysters and a beer","Intimate seafood and craft beer restaurant with fresh oysters","http://www.upstatenyc.com/"
23,"Loreley Beer Garden","lower_east_side","Lower East Side","7 Rivington St, New York, NY 10002","40.7208;-73.9913","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$2 off draft beer, $16 one-liter steins, $12 beer flights, $2 off glasses of wine","German-style beer garden with outdoor space","https://www.loreleynyc.com/"
24,"Bar Belly","lower_east_side","Lower East Side","14 Orchard St, New York, NY 10002","40.7167;-73.9906","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$1 happy hour oysters","Sleek cocktail lounge with live music and seafood","https://www.barbellynyc.com/"
25,"Verlaine","lower_east_side","Lower East Side","110 Rivington St, NY, NY 10002","40.7195;-73.9898","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 10:00 PM","Lychee martini for $8, limited drink selection","Sleek lounge with Southeast Asian inspired drinks and food","https://www.verlainenyc.com/"
26,"The Ten Bells","lower_east_side","Lower East Side","247 Broome St, New York, NY 10002","40.7184;-73.9911","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 7:00 PM","$1.50 oysters, $20 carafes of wine (about 16 oz)","Rustic wine bar with tapas and natural wines","https://tenbellsnyc.com/"
27,"The Magician","lower_east_side","Lower East Side","118 Rivington St, New York, NY 10002","40.7192;-73.988","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","Select well liquor, draft beer, and wines for $6 each","No-frills neighborhood bar with casual vibe","https://www.themagicianbar.com/"
28,"Nurse Bettie","lower_east_side","Lower East Side","106 Norfolk St, New York, NY 10002","40.7192;-73.9866","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$6 well drinks and beer, $8 cucumber vodka soda, constant specials","Pinup-themed cocktail bar with burlesque shows","https://nursebettie.com/"
29,"The Friki Tiki","midtown","Midtown","357 W 44th St, NY 10036","40.7596;-73.9911","tuesday;wednesday;thursday;friday;saturday","5:00 PM - 8:00 PM","$10 frozen drinks, $9 wine, $6 beer","Tropical tiki bar with island-inspired cocktails","https://www.frikitiki.com/"
30,"Valerie","midtown","Midtown","45 W 45th St, NY 10036","40.7567;-73.9812","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$12 cocktails, $9 select wines, $7 select beers, $1 oysters","Art deco cocktail bar with upscale ambiance","https://www.valerienyc.com/"
31,"The Rum House","midtown","Times Square","228 W 47th St, NY 10036","40.7593;-73.9858","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 6:00 PM","$10 classic cocktails, $8 select wines, $6 beers","Classic piano bar in The Edison Hotel specializing in rum","https://www.therumhousenyc.com/"
32,"The Perfect Pint","midtown","Midtown","123 W 45th St, NY 10036","40.7574;-73.9843","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 select pints, $6 house wines, $7 well drinks","Irish pub with rooftop beer garden and extensive beer selection","https://www.theperfectpintnyc.com/"
33,"P.J. Clarke's","midtown","Midtown East","915 3rd Ave, New York, NY 10022","40.7585;-73.9675","monday;tuesday;wednesday;thursday;friday","3:00 PM - 6:00 PM","$7 draft beers, $9 wine, $10 signature cocktails, half-price bar menu","Historic tavern serving New Yorkers since 1884","https://pjclarkes.com/"
34,"The Campbell","midtown","Midtown East","15 Vanderbilt Ave, NY 10017","40.7528;-73.9772","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$12 cocktails, $8 wines, $6 beers","Historic Grand Central cocktail bar in former apartment","https://thecampbellnyc.com/"
35,"Industry Bar","midtown","Hell's Kitchen","355 W 52nd St, NY 10019","40.764;-73.9867","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$5 well drinks, $4 beers","Popular LGBTQ+ bar with video screens and dancing","http://www.industry-bar.com/"
36,"The Mermaid Inn Chelsea","chelsea","Chelsea","227 10th Ave, New York, NY 10011","40.7466;-74.0035","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:30 PM - 6:30 PM","$1.25 oysters (min 6), $6 beer, $10 cocktails and wine","New England-style seafood restaurant in Chelsea Market","https://themermaidnyc.com/"
37,"Porchlight","chelsea","Chelsea","271 11th Ave, NY 10001","40.7509;-74.0045","monday;tuesday;wednesday;thursday;friday;saturday;sunday","3:00 PM - 7:00 PM","$11 select cocktails, $6 beer, $5 flasks of punch","Southern-inspired cocktail bar with hospitality and whiskey focus","https://porchlightbar.com/"
38,"Fonda","chelsea","Chelsea","189 9th Ave, New York, NY 10011","40.7443;-74.0024","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 6:00 PM","$11 appetizers, $7-12 alcoholic beverages, $12 mezcalita","Contemporary Mexican restaurant from Chef Roberto Santibañez","https://fondarestaurant.com/"
39,"Bathtub Gin","chelsea","Chelsea","132 9th Ave, NY 10011","40.7424;-74.0039","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$10 cocktails, $6 beers, $8 wines","Speakeasy-style cocktail bar with actual bathtub","https://bathtubginnyc.com/"
40,"Bocca di Bacco","chelsea","Chelsea","169 9th Ave, New York, NY 10011","40.7432;-74.002","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 7:00 PM","$5 beer, $8 wine, $10 cocktails, $1.50 oysters, meatballs","Upscale Italian restaurant with extensive wine list","https://www.boccadibacconyc.com/"
41,"The Chelsea Bell","chelsea","Chelsea","316 8th Ave, New York, NY 10001","40.7474;-73.9991","monday;tuesday;wednesday;thursday","12:00 PM - 7:00 PM","$6 bottled domestic brews, $7 select drafts, $7 cocktails, $9 wine","Sports bar with American pub fare and lively atmosphere","https://www.thechelseabell.com/"
42,"Mermaid Oyster Bar Times Square","times_square","Times Square","127 W 43rd St, NY 10036","40.7554;-73.9845","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 5:30 PM","$8-$12 drinks, $2 oysters (min 6), $4-$12 snacks","Seafood restaurant with nautical theme and fresh oysters","https://themermaidnyc.com/"
43,"Haven Rooftop","times_square","Times Square","132 W 47th St, NY 10036","40.7588;-73.9841","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 beers, $9 wines, $10 cocktails","Rooftop lounge with city views and French-inspired cuisine","https://havenrooftop.com/"
44,"Jimmy's Corner","times_square","Times Square","140 W 44th St, NY 10036","40.7567;-73.9849","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $6 well drinks","Legendary boxing-themed dive bar with affordable drinks",""
45,"Dutch Fred's","times_square","Times Square","307 W 47th St, New York, NY 10036","40.7605;-73.9886","monday;tuesday;wednesday;thursday;friday;saturday;sunday","4:00 PM - 7:00 PM","$6 select beers, $8 wines, $10 cocktails, half-price appetizers","Pre-theater cocktail bar with speakeasy atmosphere","https://dutchfredsnyc.com/"
46,"The Long Room","times_square","Times Square","120 W 44th St, NY 10036","40.7569;-73.9845","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Sleek pub with extensive beer selection and upscale ambiance","https://thelongroomnyc.com/"
47,"The Ginger Man","murray_hill","Murray Hill","11 East 36th Street, NY 10016","40.7493;-73.9822","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 craft beer, $6 wine, discounted appetizers","Renowned beer bar with over 70 taps and 160 bottles","https://gingermanny.com/"
48,"Cask Bar & Kitchen","murray_hill","Murray Hill","167 E 33rd St, New York, NY 10016","40.7448;-73.9782","monday;tuesday;wednesday;thursday;friday","3:00 PM - 7:00 PM","Half-price draft beers, $8 wine, $10 cocktails, $8 bar bites","Relaxed neighborhood gastro pub with craft beer focus","https://casknyc.com/"
49,"Joshua Tree","murray_hill","Murray Hill","513 3rd Avenue, NY 10016","40.7486;-73.9762","monday;tuesday;wednesday;thursday;friday","4:00 PM - 8:00 PM","$5 beer, $6 wine, $7 well drinks","Popular sports bar and nightlife spot","https://joshuatreenyc.com/"
50,"The Flying Cock","murray_hill","Murray Hill","497 3rd Ave, NY 10016","40.7481;-73.9766","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 drafts, $7 wines, $8 cocktails","Lively gastropub with craft beer and comfort food","https://theflyingcocknyc.com/"
51,"The Dead Rabbit","financial_district","Financial District","30 Water St, New York, NY 10004","40.7034;-74.0108","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$8 select cocktails, $6 draft beers, $10 wine, $1 oysters","Award-winning Irish pub with vintage cocktail menu","https://deadrabbitnyc.com/"
52,"BlackTail","financial_district","Financial District","22 Battery Pl, New York, NY 10004","40.7041;-74.0173","tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","Half-price daiquiris, $9 beer and shot combo, $10 wine","Cuban-inspired cocktail bar with Prohibition-era theme","https://blacktailnyc.com/"
53,"The Jeffrey","upper_east_side","Upper East Side","311 E 60th St, New York, NY 10022","40.7608;-73.9628","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$1 oysters, $6 draft beers, $10 cocktails, $2 off house wines","Industrial-chic craft beer bar with espresso cafe and outdoor space","https://thejeffreynyc.com/"
54,"The Penrose","upper_east_side","Upper East Side","1590 2nd Ave, New York, NY 10028","40.774;-73.9495","monday;tuesday;wednesday;thursday;friday;saturday;sunday","3:00 PM - 7:00 PM","$2 off beer, wine, and well drinks","Hip gastropub with rustic decor and craft beer selection","https://www.penrosebar.com/"
55,"As Is","hells_kitchen","Hell's Kitchen","734 10th Ave, New York, NY 10019","40.7634;-73.9928","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 7:00 PM","$9 cocktails, $6-8 craft beer, half-price small plates","Stylish craft beer and cocktail bar with rotating beer selections","https://www.asisnyc.com/"
56,"Mother's Ruin","nolita","Nolita","18 Spring St, New York, NY 10012","40.7215;-73.9957","monday;tuesday;wednesday;thursday;friday","1:00 PM - 7:00 PM","$6 draft beers, $10 frozen drinks, $10 daily punch, half-price wings","Popular neighborhood bar with craft cocktails and comfort food","https://mothersruinnyc.com/"
57,"Barn Joo","union_square","Union Square","35 Union Square W, New York, NY 10003","40.7369;-73.9916","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 house wine, $7 select beers, $8 cocktails, half-price bar snacks","Korean gastropub with fusion dishes and K-pop vibes","https://www.barnjoo.com/"
58,"Oscar Wilde","nomad","NoMad","45 W 27th St, New York, NY 10001","40.7453;-73.9903","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 select beers, $8 wine, $9 cocktails, $1 oysters, $8 small plates","Victorian-themed bar with the longest bar counter in NYC","https://oscarwildenyc.com/"
59,"Dear Irving","gramercy","Gramercy","55 Irving Pl, New York, NY 10003","40.7367;-73.9873","sunday;monday;tuesday;wednesday","5:00 PM - 8:00 PM","$10 signature cocktails, $9 wine, half-price oysters","Upscale cocktail parlor with time-period themed rooms","https://dearirving.com/"
60,"Skinny Dennis","williamsburg","Williamsburg","152 Metropolitan Ave, Brooklyn, NY 11211","40.7157;-73.9614","monday;tuesday;wednesday;thursday;friday","12:00 PM - 7:00 PM","Discounted beers and well drinks, $2 Tito's shots on Tuesdays","Honky-tonk bar with live country music and divey ambiance","https://skinnydennis.bar/"
61,"Le Crocodile","williamsburg","Williamsburg","80 Wythe Ave, Brooklyn, NY 11249","40.7219;-73.9582","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$2 oysters, $10 spritzes, discounted small plates","Upscale French brasserie with elegant dining room","https://lecrocodile.com/"
62,"Ensenada","williamsburg","Williamsburg","168 Borinquen Pl, Brooklyn, NY 11211","40.7099;-73.9529","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$8 margaritas, $6 shrimp tacos","Vibrant taqueria specializing in seafood and Baja cuisine","https://ensenadanyc.com/"
63,"Westlight","williamsburg","Williamsburg","111 N 12th St, Brooklyn, NY 11249","40.7223;-73.9562","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 cocktails, $5 beers, $6 wines","Rooftop bar on 22nd floor with panoramic views of NYC","https://westlightnyc.com/"
64,"The Ides","williamsburg","Williamsburg","80 Wythe Ave, Brooklyn, NY 11249","40.7219;-73.9582","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$8 cocktails, $6 beers, $7 wines","Stylish rooftop bar at the Wythe Hotel with Manhattan skyline views","https://wythehotel.com/"
65,"Radegast Hall","williamsburg","Williamsburg","113 N 3rd St, Brooklyn, NY 11249","40.7165;-73.9594","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Authentic Bavarian-style beer hall with live music","https://radegasthall.com/"
66,"The Rookery","bushwick","Bushwick","425 Troutman St, Brooklyn, NY 11237","40.7059;-73.9236","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 cocktails, $6 wines","British-inspired pub with outdoor patio and craft beer","https://therookerybar.com/"
67,"Maite","bushwick","Bushwick","159 Central Ave, Brooklyn, NY 11221","40.6985;-73.935","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","$8 cocktails, $6 wines, $5 beers","Intimate Basque-influenced restaurant with creative cocktails","https://maitebk.com/"
68,"Left Hand Path","bushwick","Bushwick","89 Wyckoff Ave, Brooklyn, NY 11237","40.7057;-73.9169","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Chic cocktail bar with outdoor space and cozy atmosphere","https://lefthandpathbk.com/"
69,"The Johnson's","bushwick","Bushwick","369 Troutman St, Brooklyn, NY 11237","40.7058;-73.9229","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Retro dive bar with 1970s decor and pool table","https://thejohnsonsbar.com/"
70,"The Cobra Club","bushwick","Bushwick","6 Wyckoff Ave, Brooklyn, NY 11237","40.7065;-73.9221","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Multi-purpose space with yoga studio, coffee shop, and bar","https://thecobraclub.com/"
71,"Siren Oyster Bar","park_slope","Park Slope","596 5th Ave, Brooklyn, NY 11215","40.6661;-73.9885","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$1.50 oysters, $8 wines, $6 beers","Seafood-focused restaurant with raw bar and craft cocktails","https://sirenoysterbar.com/"
72,"The Owl Farm","park_slope","Park Slope","297 7th St, Brooklyn, NY 11215","40.6724;-73.9831","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 select drafts, $7 wines","Eclectic beer bar with rotating taps and pinball machines","https://theowlfarm.com/"
73,"The Gate","park_slope","Park Slope","321 5th Ave, Brooklyn, NY 11215","40.6731;-73.9818","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","Neighborhood pub with dog-friendly outdoor seating","https://thegatebrooklyn.com/"
74,"The Garret","west_village","West Village","296 Bleecker St, New York, NY 10014","40.7318;-74.003","monday;tuesday;wednesday;thursday","5:00 PM - 8:00 PM","$10 specialty cocktails, $8 beer, $12 wine, $8 appetizers","Hidden speakeasy above Five Guys with creative cocktails","https://thegarretwest.com/"
75,"William Barnacle Tavern","east_village","East Village","80 St Marks Pl, NY 10003","40.7277;-73.9854","monday;tuesday;wednesday;thursday;friday;saturday;sunday","1:00 PM - 7:00 PM","Discounted drinks, creative sandwiches","Historic speakeasy with absinthe specialties",""
76,"Lovers of Today","east_village","East Village","132½ E 7th St, NY 10009","40.7263;-73.9841","monday;tuesday;wednesday;thursday;friday","5:00 PM - 7:00 PM","Discounted select cocktails, beers","Intimate cocktail bar with speakeasy vibe",""
77,"Bibi Wine Bar","east_village","East Village","211 E 4th St, NY 10009","40.7251;-73.9844","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Until 8:00 PM","$8 glasses, $28 bottles of select wines","Intimate wine bar focused on natural and organic wines","http://www.bibiwinebar.com/"
78,"Yuca Bar & Restaurant","east_village","East Village","111 Avenue A, NY 10009","40.7275;-73.9826","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Until 8:00 PM","Half-priced drinks","Latin American restaurant with tropical cocktails","http://www.yucabarnyc.com/"
79,"Death & Company","east_village","East Village","433 E 6th St, NY 10009","40.726;-73.9847","monday;tuesday;wednesday;thursday;friday;saturday;sunday","By reservation only","Happy hour not specified","Pioneering speakeasy-style cocktail bar with expert mixology","https://www.deathandcompany.com/"
80,"Mercury Bar","midtown","Midtown","659 9th Ave, NY 10036","40.7613;-73.9923","monday;tuesday;wednesday;thursday;friday","11:00 AM - 8:00 PM","$5 beers, $6 wines, $7 cocktails, $5 tacos Tue, $1 wings Wed","Casual sports bar with daily specials and beer selection","https://mercurybarnyc.com/"
81,"The Shakespeare","midtown","Midtown","24 E 39th St, NY 10016","40.7507;-73.9802","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","English pub with literary theme and classic British fare","https://theshakespearenyc.com/"
82,"The Irish Pub","midtown","Midtown","837 7th Ave, NY 10019","40.7639;-73.9822","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $6 well drinks, $7 wines","Classic Irish pub with traditional atmosphere",""
83,"The Mean Fiddler","midtown","Midtown","266 W 47th St, NY 10036","40.7599;-73.9873","monday;tuesday;wednesday;thursday;friday","4:00 PM - 8:00 PM","$5 beers, $6 wines, $7 cocktails","Irish pub with live music and dancing","https://themeanfiddlernyc.com/"
84,"The Long Acre Tavern","midtown","Midtown","146 W 47th St, NY 10036","40.7591;-73.9845","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Theater district tavern with craft beers and cocktails","https://longacretavern.com/"
85,"The Stag's Head","midtown","Midtown","252 E 51st St, NY 10022","40.7551;-73.9693","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$5 select beers; $6 well drinks; $7 select wines","Craft beer bar with rustic charm","https://www.stagheadsnyc.com/"
86,"Draught 55","midtown","Midtown","245 E 55th St, NY 10022","40.7593;-73.966","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$9 select cocktails; $5 beer; $6 well drinks; $2 off wine","Cozy pub with extensive draft beer selection","https://www.draught55.com/"
87,"The Horny Ram","midtown","Midtown","951 2nd Ave, NY 10022","40.7541;-73.9707","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$8 Aperol spritz, mules, and select wines; $6 beers; 2 bites for $16","Modern gastropub with two floors and rooftop seating","https://www.thehornyram.com/"
88,"Castell Rooftop Lounge","midtown","Midtown","260 W 40th St, NY 10018","40.7559;-73.9915","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$10 select cocktails; $8 wines; $7 beers","Stylish rooftop lounge with city views","https://www.castellnyc.com/"
89,"The Tippler","chelsea","Chelsea","425 W 15th St, NY 10011","40.7422;-74.0059","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$7 cocktails, $5 beers, $6 wines","Underground cocktail den beneath Chelsea Market","https://thetipplernyc.com/"
90,"The Frying Pan","chelsea","Chelsea","207 12th Ave, NY 10001","40.7486;-74.0088","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Historic lightship converted to floating bar on the Hudson","https://fryingpan.nyc/"
91,"The Standard Biergarten","chelsea","Chelsea","848 Washington St, NY 10014","40.7405;-74.0083","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$5 beers, $7 wines, $8 cocktails","German-style beer garden under the High Line","https://www.standardhotels.com/new-york/features/biergarten"
92,"The Flatiron Room","chelsea","Chelsea","37 W 26th St, NY 10010","40.7444;-73.9899","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$8 cocktails, $6 beers, $7 wines","Upscale whiskey bar with live jazz and extensive selection","https://theflatironroom.com/"
93,"Upside Down","chelsea","Chelsea","218 W 23rd St, New York, NY 10011","40.7451;-73.9974","monday;tuesday;wednesday;thursday","5:00 PM - 8:00 PM","$6 draft beers, $8 wine, $10 specialty cocktails, half-price flatbreads","Casual rooftop bar with great skyline views and outdoor seating","https://upsidedownchelsea.com/"
94,"Cull & Pistol","chelsea","Chelsea","75 9th Ave, New York, NY 10011","40.7422;-74.0048","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","Half-priced oysters","Seafood restaurant and oyster bar in Chelsea Market","https://www.cullandpistol.com/"
95,"The Copper Still","chelsea","Chelsea","206 7th Ave, New York, NY 10011","40.7434;-73.997","monday;tuesday;wednesday;thursday;friday","12:00 PM - 6:00 PM","$10 cocktails, $6 draft beers, under $6 for fries, sliders, popcorn","Cozy Irish pub with whiskey selection and comfort food","https://www.thecopperstillnyc.com/"
96,"The Cutting Room","murray_hill","Murray Hill","44 E 32nd St, NY 10016","40.7465;-73.9828","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$6 beers, $8 wines, $10 cocktails","Iconic music venue with craft cocktails","https://thecuttingroomnyc.com/"
