name,address,image
Yuca Bar & Restaurant,"111 Avenue A, NY 10009",restaurant_images/image78.jpg
Death & Company,"433 E 6th St, NY 10009",restaurant_images/image79.jpg
Mercury Bar,"659 9th Ave, NY 10036",restaurant_images/image80.jpg
The Shakespeare,"24 E 39th St, NY 10016",restaurant_images/image81.jpg
The Irish Pub,"837 7th Ave, NY 10019",restaurant_images/image82.jpg
The Mean Fiddler,"266 W 47th St, NY 10036",restaurant_images/image83.jpg
The Long Acre Tavern,"146 W 47th St, NY 10036",restaurant_images/image84.jpg
The Stag's Head,"252 E 51st St, NY 10022",restaurant_images/image85.jpg
Draught 55,"245 E 55th St, NY 10022",restaurant_images/image86.jpg
The Horny Ram,"951 2nd Ave, NY 10022",restaurant_images/image87.jpg
Castell Rooftop Lounge,"260 W 40th St, NY 10018",restaurant_images/image88.jpg
The Tippler,"425 W 15th St, NY 10011",restaurant_images/image89.jpg
The Frying Pan,"207 12th Ave, NY 10001",restaurant_images/image90.jpg
The Standard Biergarten,"848 Washington St, NY 10014",restaurant_images/image91.jpg
The Flatiron Room,"37 W 26th St, NY 10010",restaurant_images/image92.jpg
Upside Down,"218 W 23rd St, New York, NY 10011",restaurant_images/image93.jpg
Cull & Pistol,"75 9th Ave, New York, NY 10011",restaurant_images/image94.jpg
The Copper Still,"206 7th Ave, New York, NY 10011",restaurant_images/image95.jpg
The Cutting Room,"44 E 32nd St, NY 10016",restaurant_images/image96.jpg
The Churchill Tavern,"45 E 28th St, NY 10016",restaurant_images/image97.jpg
Jadis,"42 Rivington St, New York, NY 10002",restaurant_images/image98.jpg
Bonnie Vee,"17 Stanton St, New York, NY 10002",restaurant_images/image99.jpg
Essex,"124 Rivington St, New York, NY 10002",restaurant_images/image100.jpg
O'Lunney's,"145 W 45th St, NY 10036",restaurant_images/image101.jpg
The Blind Tiger,"281 Bleecker St, NY 10014",restaurant_images/image102.jpg
The Four-Faced Liar,"165 W 4th St, NY 10014",restaurant_images/image103.jpg
The Half Pint,"76 W 3rd St, NY 10012",restaurant_images/image104.jpg
Greenwich Treehouse,"46 Greenwich Ave, NY 10011",restaurant_images/image105.jpg
The Lions Bar & Grill,"132 1st Ave, NY 10009",restaurant_images/image106.jpg
The Scratcher,"209 E 5th St, NY 10003",restaurant_images/image107.jpg
The Irish Times,"254 W 31st St, NY 10001",restaurant_images/image108.jpg
The Bar at Times Square,"255 W 43rd St, NY 10036",restaurant_images/image109.jpg
The Liberty,"29 W 35th St, NY 10001",restaurant_images/image110.jpg
RPM Underground,"246 W 54th St, NY 10019",restaurant_images/image111.jpg
Crown Alley,"263 W 19th St, NY 10011",restaurant_images/image112.jpg
Bar Veloce,"176 7th Ave, NY 10011",restaurant_images/image113.jpg
The Orchard Townhouse,"242 10th Ave, NY 10001",restaurant_images/image114.jpg
The Joyce Public House,"315 W 39th St, NY 10018",restaurant_images/image115.jpg
The Half King,"505 W 23rd St, NY 10011",restaurant_images/image116.jpg
169 Bar,"169 E Broadway, NY 10002",restaurant_images/image117.jpg
The Bowery Beer Garden,"93 Bowery, NY 10002",restaurant_images/image118.jpg
The Delancey,"168 Delancey St, NY 10002",restaurant_images/image119.jpg
The Skinny Bar & Lounge,"174 Orchard St, NY 10002",restaurant_images/image120.jpg
The DL,"95 Delancey St, NY 10002",restaurant_images/image121.jpg
The Back Room,"102 Norfolk St, NY 10002",restaurant_images/image122.jpg
Attaboy,"134 Eldridge St, NY 10002",restaurant_images/image123.jpg
The Slipper Room,"167 Orchard St, NY 10002",restaurant_images/image124.jpg
Las' Lap,"74 Orchard St, NY 10002",restaurant_images/image125.jpg
Fan Fried Rice Bar,"92 S 6th St, Brooklyn, NY 11249",Place not found
Cozy Royale,"434 Humboldt St, Brooklyn, NY 11211",restaurant_images/image127.jpg
The Exley,"1 Jackson St, Brooklyn, NY 11211",restaurant_images/image128.jpg
The Gibson,"108 Bedford Ave, Brooklyn, NY 11249",restaurant_images/image129.jpg
The Counting Room,"44 Berry St, Brooklyn, NY 11249",restaurant_images/image130.jpg
Beyond The Pale,"53 Spring St, NY 10012",restaurant_images/image131.jpg
The Crosby Bar,"79 Crosby St, NY 10012",restaurant_images/image132.jpg
Pegu Club,"77 W Houston St, NY 10012",restaurant_images/image133.jpg
Jimmy SoHo,"15 Thompson St, NY 10013",restaurant_images/image134.jpg
Little Prince,"199 Prince St, NY 10012",restaurant_images/image135.jpg
The Ship,"158 Lafayette St, NY 10013",restaurant_images/image136.jpg
City Winery,"155 Varick St, NY 10013",restaurant_images/image137.jpg
Lola Taverna,"210 6th Ave, NY 10014",restaurant_images/image138.jpg
The Woo,"206 Spring St, NY 10012",restaurant_images/image139.jpg
The Spring Lounge,"48 Spring St, NY 10012",restaurant_images/image140.jpg
The Mulberry,"76 Mulberry St, NY 10013",No photo available
The Honey Well,"3604 Broadway, NY 10031",restaurant_images/image142.jpg
The Edge Harlem,"101 Edgecombe Ave, NY 10030",restaurant_images/image143.jpg
Lolo's Seafood Shack,"303 W 116th St, NY 10026",restaurant_images/image144.jpg
The Grange Bar & Eatery,"1635 Amsterdam Ave, NY 10031",restaurant_images/image145.jpg
Harlem Hops,"2268 Adam Clayton Powell Jr Blvd, NY 10030",restaurant_images/image146.jpg
Harlem Tavern,"2153 Frederick Douglass Blvd, NY 10026",restaurant_images/image147.jpg
67 Orange Street,"2130 Frederick Douglass Blvd, NY 10026",restaurant_images/image148.jpg
The Growler,"55 Stone St, NY 10004",restaurant_images/image149.jpg
The Black Hound,"301 South End Ave, NY 10280",restaurant_images/image150.jpg
The Beekman Pub,"15 Beekman St, NY 10038",restaurant_images/image151.jpg
The Paris Cafe,"119 South St, NY 10038",restaurant_images/image152.jpg
The Stone Street Tavern,"52 Stone St, NY 10004",restaurant_images/image153.jpg
Sereneco,"113 Franklin St, Brooklyn, NY 11222",restaurant_images/image154.jpg
The Pencil Factory,"142 Franklin St, Brooklyn, NY 11222",restaurant_images/image155.jpg
Elder Greene,"160 Franklin St, Brooklyn, NY 11222",restaurant_images/image156.jpg
Threes Brewing,"113 Franklin St, Brooklyn, NY 11222",restaurant_images/image157.jpg
Brooklyn Winery,"61 Guernsey St, Brooklyn, NY 11222",restaurant_images/image158.jpg
The Keep,"205 Cypress Ave, Brooklyn, NY 11237",restaurant_images/image159.jpg
The Wheelhouse,"165 Wilson Ave, Brooklyn, NY 11237",restaurant_images/image160.jpg
The Evergreen,"1281 Myrtle Ave, Brooklyn, NY 11221",Place not found
The Bad Old Days,"1684 Woodbine St, Brooklyn, NY 11237",restaurant_images/image162.jpg
The Bodega,"1402 St Nicholas Ave, Brooklyn, NY 11237",restaurant_images/image163.jpg
The Double Windsor,"210 Prospect Park West, Brooklyn, NY 11215",restaurant_images/image164.jpg
Blueprint,"196 5th Ave, Brooklyn, NY 11217",restaurant_images/image165.jpg
The Commissioner,"247 5th Ave, Brooklyn, NY 11215",restaurant_images/image166.jpg
Freddy's Bar,"627 5th Ave, Brooklyn, NY 11215",restaurant_images/image167.jpg
High Dive,"243 5th Ave, Brooklyn, NY 11215",restaurant_images/image168.jpg
Fonda,"431 7th Ave, Brooklyn, NY 11215",restaurant_images/image169.jpg
Bar Basic,"504 5th Ave, Brooklyn, NY 11215",restaurant_images/image170.jpg
Hugo & Sons,"367 7th Ave, Brooklyn, NY 11215",restaurant_images/image171.jpg
Korzo,"667 5th Ave, Brooklyn, NY 11215",restaurant_images/image172.jpg
Pasta Louise,"803 8th Ave, Brooklyn, NY 11215",restaurant_images/image173.jpg
The Stumble Inn,"1454 2nd Ave, NY 10021",restaurant_images/image174.jpg
Jake's Dilemma,"430 Amsterdam Ave, NY 10024",restaurant_images/image175.jpg
Hillstone,"378 Park Ave S, NY 10010",restaurant_images/image176.jpg
The Playwright,"27 W 35th St, NY 10001",restaurant_images/image177.jpg
The Cannibal,"113 E 29th St, NY 10016",restaurant_images/image178.jpg
Tavern 29,"47 E 29th St, NY 10016",restaurant_images/image179.jpg
Tara Rose,"384 3rd Ave, NY 10016",restaurant_images/image180.jpg
Sundays Well,"360 3rd Ave, NY 10016",restaurant_images/image181.jpg
The Gem Saloon,"375 3rd Ave, NY 10016",restaurant_images/image182.jpg
Bella Union,"411 3rd Ave, NY 10016",restaurant_images/image183.jpg
Ernie O'Malley's,"140 E 27th St, NY 10016",restaurant_images/image184.jpg
Dog & Bone Tavern,"3rd Ave, NY 10016",restaurant_images/image185.jpg
Albion,"575 2nd Ave, NY 10016",restaurant_images/image186.jpg
The Junction,"329 Lexington Ave, NY 10016",No photo available
Park Avenue Tavern,"99 Park Ave, NY 10016",restaurant_images/image188.jpg
Slattery's Midtown Pub,"8 E 36th St, NY 10016",restaurant_images/image189.jpg
La Cava Wine Bar,"939 2nd Ave, NY 10022",restaurant_images/image190.jpg
Murray Hill Local,"539 3rd Ave, NY 10016",restaurant_images/image191.jpg
Ethyl's Alcohol & Food,"1629 2nd Ave, NY 10028",restaurant_images/image192.jpg
